Tipo de extensão,Texto,URL,Descrição
Sitelink,Nossos Serviços,https://exactalabs.com.br#servicos,Conheça todos os nossos serviços
Sitelink,Portfólio,https://exactalabs.com.br#portfolio,Veja projetos que já desenvolvemos
Sitelink,Fale com Especialista,https://exactalabs.com.br#contato,Tire suas dúvidas sem compromisso
Sitelink,Cases de Sucesso,https://exactalabs.com.br#cases,Resultados reais de clientes
Callout,+10 Anos de Experiência,,
Callout,Atendimento em Santos SP,,
Callout,Suporte Contínuo Incluso,,
Callout,SEO Profissional Incluso,,
Callout,Design Moderno e Responsivo,,
Callout,Entrega em até 30 Dias,,
Callout,Primeira Consultoria Grátis,,
Snippet estruturado - Services,Sites Institucionais,,
Snippet estruturado - Services,Landing Pages,,
Snippet estruturado - Services,CRM Personalizado,,
Snippet estruturado - Services,Sistema de Vendas,,
Snippet estruturado - Services,Automação Comercial,,
Snippet estruturado - Services,Integração WhatsApp,,
Snippet estruturado - Services,SEO Profissional,,
Snippet estruturado - Services,Suporte Contínuo,,
